iter	MultiClass
0	1.498006476
1	0.9630198664
2	0.7740669926
3	0.6531455533
4	0.5324818106
5	0.4718363243
6	0.4430539187
7	0.3891210733
8	0.3666710175
9	0.3320311072
10	0.3161580799
11	0.305499898
12	0.2805256592
13	0.272540323
14	0.2646904124
15	0.261917308
16	0.2544204554
17	0.2538414962
18	0.2412807889
19	0.2372535616
20	0.2322669921
21	0.2318432048
22	0.2296791269
23	0.2291006541
24	0.2228903862
25	0.2216407776
26	0.2199711193
27	0.215868582
28	0.2091555942
29	0.2053660056
30	0.2049179955
31	0.1990963994
32	0.199046593
33	0.1978341664
34	0.197123364
35	0.1946992778
36	0.1932404583
37	0.1926584987
38	0.1915012615
39	0.1888402646
40	0.1866322449
41	0.185335068
42	0.1844733912
43	0.1841825467
44	0.1825459251
45	0.1819693177
46	0.1800416917
47	0.1797404127
48	0.1793308915
49	0.1763010418
50	0.1732123585
51	0.1724455053
52	0.1714109875
53	0.1706759596
54	0.1695878413
55	0.168577142
56	0.167748475
57	0.1653841585
58	0.1650891471
59	0.1646335967
60	0.1640220162
61	0.1633328011
62	0.1627058091
63	0.1621826376
64	0.1611322699
65	0.1610396421
66	0.16008175
67	0.1593509252
68	0.1592373758
69	0.1525520223
70	0.1510923451
71	0.1484982616
72	0.1484062622
73	0.1479556165
74	0.1459704257
75	0.1454845214
76	0.1444072391
77	0.1432583071
78	0.1414192083
79	0.1408655044
80	0.1406393347
81	0.1405139981
82	0.1397761274
83	0.1388291751
84	0.1380964099
85	0.1371768901
86	0.1368160482
87	0.136436591
88	0.135846531
89	0.1348877466
90	0.1347578599
91	0.1339484054
92	0.1329178771
93	0.1324798146
94	0.1318096674
95	0.1306870849
96	0.1301394908
97	0.1298583237
98	0.1294356861
99	0.1290338448
100	0.1283878342
101	0.1283391093
102	0.1269581878
103	0.1264002852
104	0.12605406
105	0.1258041267
106	0.1251958887
107	0.124217083
108	0.1235744594
109	0.1220856049
110	0.1216176648
111	0.1212147942
112	0.1202661572
113	0.1188546309
114	0.1184352202
115	0.1181398849
116	0.1179481525
117	0.1167395913
118	0.1163116564
119	0.1158282522
120	0.1150401104
121	0.114481398
122	0.1137201306
123	0.113351647
124	0.1130957964
125	0.1123195562
126	0.1120156892
127	0.1118883792
128	0.1107784294
129	0.1102460937
130	0.1094266654
131	0.1088210444
132	0.1082532979
133	0.1079157254
134	0.1071643025
135	0.106693357
136	0.1063616075
137	0.1052958224
138	0.1051295834
139	0.1047213754
140	0.1042803746
141	0.1036406076
142	0.1028742375
143	0.1019482111
144	0.1016526617
145	0.1013979976
146	0.1007167415
147	0.100257965
148	0.1001936753
149	0.0999057
150	0.09932697706
151	0.09856214602
152	0.0982653913
153	0.09794008751
154	0.0976125217
155	0.09760555238
156	0.09708829726
157	0.09660056409
158	0.09644309265
159	0.09594773419
160	0.09549235716
161	0.09529459881
162	0.09503865972
163	0.09490805132
164	0.09482715476
165	0.09412554631
166	0.09267009685
167	0.0924082431
168	0.09214068191
169	0.09163061942
170	0.09154742922
171	0.09050549456
172	0.09036699123
173	0.09021899868
174	0.089619136
175	0.08934692129
176	0.08876966907
177	0.08848960547
178	0.08814983809
179	0.08799689129
180	0.08759930303
181	0.08673112526
182	0.0866519469
183	0.08640619081
184	0.08603044548
185	0.0858226837
186	0.08460263169
187	0.08442563752
188	0.08435368389
189	0.0835830685
190	0.08325303946
191	0.08288194123
192	0.08274050859
193	0.08245630936
194	0.08231509656
195	0.08189223103
196	0.08141510571
197	0.08114837414
198	0.08090200065
199	0.08082774736
